SUMATERA UTARA,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
LABUHANBATU UTARA,119900,116919,236819,139,70,209,226,234,460,1849,1829,3678,122114,119052,241166,81128,83058,164186,135,68,203,130,129,259,1848,1829,3677,83241,85084,168325,241940,15,73600,168325,167732,593,168325,73485,94247,167732
NIAS UTARA,42099,44387,86486,41,24,65,79,73,152,74,66,140,42293,44550,86843,25448,27172,52620,38,22,60,30,32,62,74,66,140,25590,27292,52882,88328,10,35436,52882,52588,294,52882,7283,45305,52588
NIAS BARAT,25655,28933,54588,38,48,86,15,18,33,132,154,286,25840,29153,54993,17670,20528,38198,38,48,86,7,9,16,132,154,286,17847,20739,38586,55780,2,17192,38586,38354,232,38586,6152,32202,38354
KOTA MEDAN,861010,885821,1746831,2414,2568,4982,2134,2221,4355,38588,43324,81912,904146,933934,1838080,439322,493778,933100,2386,2556,4942,905,1002,1907,38588,43324,81912,481201,540660,1021861,1775628,598,753169,1021861,1016638,5223,1021861,530243,486395,1016638
KOTA PEMATANGSIANTAR,93107,99990,193097,320,367,687,88,92,180,1132,1473,2605,94647,101922,196569,55686,64946,120632,259,306,565,58,74,132,1132,1473,2605,57135,66799,123934,197542,56,73552,123934,123411,523,123934,40124,83287,123411
KOTA SIBOLGA,30752,31343,62095,78,67,145,12,12,24,437,437,874,31279,31859,63138,16335,20049,36384,72,62,134,11,10,21,437,437,874,16855,20558,37413,63435,10,26012,37413,37255,158,37413,14682,22573,37255
KOTA TANJUNG BALAI,56152,55417,111569,115,85,200,43,31,74,417,443,860,56727,55976,112703,28896,33608,62504,94,78,172,21,14,35,417,443,860,29428,34143,63571,113971,13,50387,63571,63130,441,63571,34519,28611,63130
KOTA BINJAI,89239,93403,182642,85,39,124,139,102,241,2672,3025,5697,92135,96569,188704,55191,62814,118005,76,37,113,79,63,142,2672,3025,5697,58018,65939,123957,184211,125,60129,123957,123351,606,123957,77888,45463,123351
KOTA TEBING TINGGI,60302,62769,123071,75,84,159,29,24,53,570,676,1246,60976,63553,124529,35723,40223,75946,75,82,157,14,13,27,570,676,1246,36382,40994,77376,125729,22,48331,77376,77090,286,77376,41592,35498,77090
KOTA PADANG SIDIMPUAN,69595,75119,144714,70,56,126,363,183,546,1424,1776,3200,71452,77134,148586,42510,49602,92112,58,50,108,232,102,334,1408,1772,3180,44208,51526,95734,147693,88,51871,95734,95270,464,95734,71847,23423,95270
KOTA GUNUNGSITOLI,41294,45160,86454,150,126,276,46,14,60,368,399,767,41858,45699,87557,26960,30326,57286,147,124,271,43,13,56,368,399,767,27518,30862,58380,88302,14,29908,58380,58076,304,58380,9585,48491,58076
Jumlah Akhir,4904381,4998567,9902948,7256,7266,14522,6963,6352,13315,94427,104679,199106,5013027,5116864,10129891,2936541,3200310,6136851,6866,6837,13703,3390,3098,6488,94356,104627,198983,3041153,3314872,6356025,10094126,3233,3734868,6356025,6326349,29676,6356025,2831514,3494835,6326349
