JAWA TIMUR,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
PROBOLINGGO,414488,443023,857511,172,68,240,0,0,0,517,553,1070,415177,443644,858821,263745,310587,574332,172,68,240,0,0,0,517,553,1070,264434,311208,575642,875616,314,299660,575642,569797,5845,575642,280103,289694,569797
PASURUAN,581109,600377,1181486,326,261,587,286,320,606,2982,3301,6283,584703,604259,1188962,388431,435424,823855,321,256,577,151,181,332,2982,3301,6283,391885,439162,831047,1205572,1408,373117,831047,819655,11392,831047,474725,344930,819655
SIDOARJO,686856,703788,1390644,1263,1348,2611,2083,1642,3725,12787,14273,27060,702989,721051,1424040,472147,525908,998055,1228,1303,2531,806,564,1370,12787,14273,27060,486968,542048,1029016,1419863,2796,388051,1029016,1015619,13397,1029016,464893,550726,1015619
MOJOKERTO,403900,410437,814337,242,235,477,170,125,295,1437,1513,2950,405749,412310,818059,303961,331261,635222,236,228,464,119,78,197,1437,1513,2950,305753,333080,638833,830998,211,191954,638833,630620,8213,638833,260355,370265,630620
JOMBANG,493597,498173,991770,122,120,242,71,60,131,2639,2899,5538,496429,501252,997681,337997,379337,717334,122,120,242,40,28,68,2636,2899,5535,340795,382384,723179,1012777,502,289096,723179,714227,8952,723179,303115,411112,714227
NGANJUK,434909,440010,874919,227,115,342,2,0,2,1160,1418,2578,436298,441543,877841,289434,322807,612241,216,115,331,2,0,2,1160,1418,2578,290812,324340,615152,893164,261,277751,615152,609405,5747,615152,232506,376899,609405
MADIUN,282906,299869,582775,66,46,112,47,49,96,746,816,1562,283765,300780,584545,199425,221233,420658,50,46,96,32,29,61,746,816,1562,200253,222124,422377,595449,175,172897,422377,417994,4383,422377,177992,240002,417994
MAGETAN,266135,287777,553912,102,107,209,124,81,205,578,660,1238,266939,288625,555564,187020,213169,400189,102,107,209,84,43,127,578,660,1238,187784,213979,401763,565767,106,163898,401763,396908,4855,401763,205946,190962,396908
NGAWI,354167,371507,725674,240,321,561,339,274,613,1323,1596,2919,356069,373698,729767,236949,268588,505537,229,248,477,215,152,367,1323,1596,2919,238716,270584,509300,740924,330,231294,509300,503904,5396,509300,200735,303169,503904
BOJONEGORO,517363,524166,1041529,249,140,389,198,190,388,995,1062,2057,518805,525558,1044363,344896,387841,732737,249,140,389,100,108,208,995,1062,2057,346240,389151,735391,1061267,336,325540,735391,729584,5807,735391,377277,352307,729584
TUBAN,457979,471181,929160,277,143,420,29,33,62,778,801,1579,459063,472158,931221,300632,346172,646804,277,142,419,19,24,43,778,801,1579,301706,347139,648845,947676,519,298312,648845,641097,7748,648845,267898,373199,641097
LAMONGAN,533103,548859,1081962,123,96,219,75,81,156,1971,2155,4126,535272,551191,1086463,331200,383392,714592,123,95,218,36,49,85,1971,2155,4126,333330,385691,719021,1105097,560,385516,719021,710835,8186,719021,368586,342249,710835
GRESIK,450856,455577,906433,724,595,1319,469,446,915,3090,3066,6156,455139,459684,914823,312323,350704,663027,724,595,1319,246,249,495,3090,3066,6156,316383,354614,670997,926752,456,255299,670997,663451,7546,670997,350955,312496,663451
